"NumPlaces","StatVar","Units","MinDate","MeasurementMethods","ScalingFactors","observationPeriods"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47581","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47581","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47581","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With2Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47581","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With2Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With4Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47581","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47624","EveryWeekday_Mean_VehicleTrips_Household_With2Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47624","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47625","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47624","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47625","EveryWeekday_Mean_VehicleTrips_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47624","EveryWeekday_Mean_VehicleTrips_Household_With2Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47624","EveryWeekday_Mean_VehicleTrips_Household_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47625","EveryWeekday_Mean_VehicleTrips_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47625","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47625","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With4Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47601","EveryWeekday_Mean_PersonTrips_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47582","EveryWeekday_Mean_PersonMilesTraveled_Household_With3Person_With1AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
"47609","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","[]","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","[]"
