"MeasurementMethods","ScalingFactors","observationPeriods","MinDate","Units","NumPlaces","StatVar"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Male_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Female_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Female_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_InArmedForces_Employed"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Male_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Male_ServicesAndSales"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Male_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_InArmedForces_Employed_Male"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_65To69Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_25To29Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_35To39Years_Employed_Male_CraftsAndTrade"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Female_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_30To34Years_Employed_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Male_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Female_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Manager"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_60To64Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_55To59Years_Employed_Male_Professional"
"[]","[]","[]","2009","[]","23","Count_Person_InArmedForces_Employed_Female"
"[]","[]","[]","2009","[]","23","Count_Person_20To24Years_Employed_Female_ElementaryWorker"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_70OrMoreYears_Employed_PlantOperatorAndMachineOperatorAndMachineAssemble"
"[]","[]","[]","2009","[]","23","Count_Person_15To19Years_Employed_Male_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Female_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_50To54Years_Employed_Male_TechnicianAndAssociateProfessional"
"[]","[]","[]","2009","[]","23","Count_Person_45To49Years_Employed_Female_AgricultureForestryFishing"
"[]","[]","[]","2009","[]","23","Count_Person_40To44Years_Employed_Female_ClericalWorker"
"[]","[]","[]","2009","[]","23","Count_Person_Employed_Female_ClericalWorker"
